age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,state,status
7,11,13,8,34,9,42421591.96379749,6,web,1,1,0,0,0,0,0,1,1,1,TX,0
15,18,5,10,49,2,6226566.794169154,7,mobile,1,0,1,1,0,0,0,0,0,1,IL,1
11,23,1,9,14,8,43834559.38617716,1,web,1,1,0,0,1,1,1,1,0,0,MA,1
8,10,13,18,26,8,32181985.624351237,9,web,0,0,0,0,0,0,1,1,0,1,WA,1
7,3,7,2,45,7,35226912.14341162,3,mobile,1,1,1,0,0,0,0,1,1,0,NY,1
19,7,5,5,27,8,45540137.776661165,4,mobile,1,1,1,0,1,1,0,1,1,0,WA,0
11,16,6,5,9,3,31275587.425058227,10,mobile,1,0,1,0,1,0,0,1,0,0,IL,0
11,16,13,6,26,6,16859706.271776773,1,software,0,0,0,0,0,1,1,0,0,1,MA,0
4,20,7,19,47,1,41272855.83799072,13,web,1,0,0,1,0,1,1,0,0,1,IL,1
8,17,3,8,22,7,18216654.688535016,11,software,0,0,1,1,0,1,1,0,1,1,NY,1
3,2,12,16,47,1,1807982.7299444033,10,software,0,1,1,0,1,1,1,1,1,1,CA,1
2,1,10,13,30,9,41549659.87760596,3,mobile,1,1,1,1,0,1,0,1,0,1,CA,1
12,16,3,1,43,1,17325088.029575653,2,software,1,0,1,1,0,0,0,1,0,0,IL,1
6,12,5,17,48,1,38714342.70774688,2,mobile,0,1,0,1,0,0,0,0,0,0,TX,1
2,5,6,7,17,7,18201618.943830676,14,web,1,0,1,0,1,1,1,1,1,0,MA,1
1,5,9,13,26,2,43067294.19673861,1,mobile,0,0,0,1,1,1,0,1,1,0,MA,0
12,23,13,4,36,5,11053575.201539839,8,software,0,1,0,0,0,0,1,1,1,1,CA,0
12,9,14,4,1,8,48729908.53342361,3,software,1,1,1,1,0,1,1,0,0,1,WA,1
17,9,12,6,8,8,39009962.86192273,3,mobile,1,1,1,0,1,1,0,1,0,0,NY,1
10,3,5,19,49,3,5800472.503427802,6,mobile,0,1,1,0,1,1,0,0,1,1,WA,1
16,19,1,12,35,7,28332253.336331367,13,software,0,1,0,1,1,0,0,1,0,1,WA,0
15,16,14,7,15,3,49269828.880862564,8,web,0,1,1,1,1,0,1,0,1,0,IL,0
15,16,14,10,47,6,23606166.08942134,13,web,0,1,1,0,1,1,1,0,0,0,CA,1
19,3,14,19,22,6,9187146.227197004,9,mobile,1,0,0,1,1,1,0,0,0,1,CA,1
12,20,4,7,14,3,24290440.520802274,9,web,1,0,1,1,1,0,0,1,0,1,CA,0
3,24,5,3,26,7,25671637.02850789,4,software,1,0,0,1,1,0,1,1,0,0,IL,0
5,22,12,13,28,3,37110178.51701041,14,mobile,1,0,1,0,1,1,0,0,1,0,TX,0
19,24,10,13,23,8,34972408.07272913,5,software,1,0,0,0,0,1,1,0,0,0,WA,0
7,1,10,18,14,4,20187247.17548933,2,software,0,1,1,1,0,0,1,1,1,1,IL,1
9,24,5,8,24,1,10979353.063954916,11,web,1,0,1,1,0,0,0,1,1,0,MA,0
7,20,7,9,2,4,32288202.97168954,9,mobile,1,0,0,1,1,0,0,0,1,0,NY,0
18,11,4,7,45,7,21143026.334208764,8,mobile,1,0,0,0,0,1,0,1,0,1,TX,1
4,17,1,1,26,4,6700582.935153986,3,web,1,0,1,0,1,0,0,1,1,1,MA,0
14,8,14,3,14,6,45038557.831695646,11,software,1,0,0,1,1,1,1,1,1,1,WA,0
18,4,14,13,7,9,34591970.69472175,12,software,0,0,0,1,0,0,1,1,1,1,CA,0
9,6,5,17,3,1,34190874.43662952,13,software,0,0,0,1,1,0,1,0,0,1,WA,1
2,8,7,1,47,5,41146935.40799253,9,software,0,1,0,1,0,0,0,1,0,0,IL,0
15,20,10,6,23,7,26530117.764888544,3,mobile,1,1,1,1,0,0,1,1,1,0,NY,1
7,3,10,6,46,1,40771215.97728261,9,mobile,0,0,1,1,0,1,0,0,0,1,IL,1
12,16,6,12,43,4,24954728.600199185,2,web,0,1,0,0,1,1,0,0,1,1,TX,0
8,3,5,13,47,6,3452052.4557939335,12,web,1,1,0,1,0,0,0,1,1,1,TX,0
15,18,4,13,45,2,20321879.592581667,10,mobile,1,1,0,0,1,1,0,1,0,1,NY,0
3,14,2,15,18,5,24923498.20959654,9,mobile,1,1,0,1,0,0,0,1,1,1,MA,0
14,18,4,16,38,1,36038108.823451556,8,software,0,0,1,1,0,0,0,1,0,0,MA,1
17,2,10,11,35,6,5418278.63342085,9,software,0,1,1,0,0,0,1,0,0,0,TX,0
4,22,10,5,15,6,7086925.079156405,5,web,1,1,0,0,1,0,0,0,1,0,TX,0
18,3,3,4,25,4,13257821.75146736,11,mobile,1,1,0,0,1,1,1,0,0,0,CA,0
8,16,10,3,37,8,13398269.829207022,11,web,0,0,0,0,1,0,1,1,0,1,MA,1
4,9,1,19,28,4,36636010.46510721,2,mobile,0,0,1,1,0,0,0,1,1,0,NY,0
2,4,8,18,10,8,12611459.962023728,8,software,1,0,0,0,0,1,0,1,1,1,MA,0
6,1,5,15,39,8,31691593.361536633,12,web,1,0,1,1,1,0,0,1,0,1,CA,1
10,4,13,9,17,5,24764265.121899743,6,web,0,0,0,0,1,0,1,0,0,1,IL,1
4,1,4,17,39,4,28707389.471152093,8,mobile,1,0,1,1,1,0,0,0,1,0,TX,0
18,14,8,14,22,2,41921537.46259696,11,software,0,0,0,1,1,1,1,1,0,1,TX,0
12,21,7,15,26,3,20278636.927296314,5,web,0,1,1,1,1,0,0,0,0,0,CA,0
2,16,2,1,44,3,38568477.7155071,10,software,0,1,0,1,1,1,0,1,0,0,NY,0
10,20,1,3,25,4,21159599.371579297,2,web,0,1,0,1,0,0,1,1,0,1,TX,0
4,24,12,16,17,4,17758181.69040635,6,software,1,0,0,1,1,0,1,0,0,1,WA,1
14,8,11,11,13,5,47935496.147929706,5,mobile,1,0,1,0,0,1,0,1,0,1,TX,1
16,7,4,12,20,4,9300108.941880263,12,web,0,0,0,1,0,0,1,1,0,0,WA,0
15,3,8,10,25,8,4607814.332822633,13,web,0,0,1,0,1,0,1,0,1,1,CA,0
8,17,12,16,4,6,38572197.68422038,12,software,0,0,1,0,1,1,1,1,1,0,CA,1
14,1,2,8,10,6,3505660.29716917,5,software,0,1,0,1,0,1,1,1,1,1,TX,0
8,16,3,6,3,8,41870241.63608117,13,web,0,1,0,0,1,1,1,0,1,1,MA,0
16,12,12,12,41,7,21915950.478226453,1,mobile,1,0,0,1,1,1,0,1,1,0,WA,0
13,19,1,8,45,8,45784132.49686651,2,software,1,0,1,0,0,1,0,0,0,0,NY,0
18,22,1,4,18,2,36104489.76998309,8,software,1,0,0,1,0,0,1,1,0,0,TX,0
15,23,13,8,47,9,30559192.883697085,13,software,1,0,1,0,0,1,0,0,0,0,NY,1
13,22,3,18,36,1,47470409.17318251,14,web,0,1,1,1,1,0,0,0,0,0,TX,0
9,14,11,5,47,8,19892803.71529751,13,web,0,0,0,1,0,0,1,0,1,0,MA,0
15,6,5,9,22,4,47708938.13332769,3,web,0,0,0,1,1,0,0,1,0,1,MA,0
13,6,12,4,34,4,6836563.743318226,10,web,0,0,0,1,0,1,1,0,0,1,MA,1
1,13,3,17,47,5,24239371.602427397,3,mobile,0,0,0,0,0,1,1,0,1,0,IL,1
7,19,1,9,8,8,13568569.997370524,8,mobile,1,1,0,1,0,0,0,0,0,1,MA,1
9,22,1,1,40,5,27038154.667518854,8,web,0,0,0,0,1,1,1,0,0,0,CA,1
1,8,8,13,49,8,8184492.506790072,2,mobile,1,0,1,0,1,1,1,0,1,1,CA,0
12,2,10,16,44,1,42092330.04947116,8,software,1,1,1,0,0,1,1,1,0,1,IL,1
8,21,11,13,19,9,42335751.68079641,11,software,1,1,1,1,0,1,1,1,0,0,WA,0
11,1,12,14,42,6,47766292.0049016,13,software,1,1,0,0,0,0,1,1,0,0,NY,0
19,15,13,3,41,3,7818139.830073487,13,web,0,0,1,0,1,0,0,1,0,0,TX,1
17,1,13,6,37,8,31204294.29015904,1,software,1,0,1,0,0,1,0,1,0,1,TX,1
8,5,12,18,6,9,23764441.704148445,6,mobile,1,1,1,1,1,0,1,1,1,0,IL,1
3,16,14,19,26,6,17284748.229007237,8,web,1,1,1,1,0,1,1,1,1,1,CA,1
3,19,2,5,34,7,17641854.04059752,3,mobile,0,1,1,0,0,1,0,0,1,0,TX,1
1,4,13,15,45,1,20698398.17527694,8,software,0,1,0,1,0,0,1,1,1,1,CA,0
5,3,3,2,6,5,35275784.92947876,12,software,0,1,0,1,0,0,0,0,1,1,WA,1
10,17,2,10,37,5,29954474.307580914,1,software,1,1,1,0,0,0,1,0,1,0,NY,1
7,17,3,18,33,4,23038107.486780442,11,web,1,0,1,0,0,1,1,1,0,1,WA,1
9,12,7,13,22,6,3889077.1774441423,11,mobile,0,0,1,1,1,0,1,0,1,1,IL,0
7,14,1,5,21,7,3980490.6695399582,9,web,1,0,0,0,0,1,1,0,1,0,MA,1
9,21,10,1,6,9,216735.59222633514,13,web,0,1,0,1,1,0,1,0,0,1,MA,0
8,6,8,1,6,1,48388199.47153361,11,software,0,1,1,1,0,0,1,0,0,0,MA,1
12,3,13,18,48,6,362165.54606340727,13,web,1,1,0,1,0,1,1,1,1,0,WA,1
2,9,10,15,4,7,5244377.92608587,9,web,1,1,0,1,1,1,0,1,0,0,TX,0
1,5,10,17,30,3,15798368.184789604,5,software,1,1,1,1,0,1,0,1,1,0,NY,1
16,24,10,11,11,8,40390769.56565639,10,web,1,1,0,1,1,1,0,1,0,1,MA,0
